1001,Zenon,Karr,24,zenon.karr1001@mars.org,Z9!marsA1,Erebus Habitat - Pod 1,Greenhouse soil team candidate
1002,Luke,Skywalker,28,luke.skywalker1002@mars.org,L8#forceB2,Amazonis Habitat - Pod 2,Rover resource run recommended
1003,Ellen,Ripley,35,ellen.ripley1003@mars.org,E7@alienC3,Research Habitat - Pod 3,Extra oxygen safety training complete
1004,Buzz,Lightyear,31,buzz.lightyear1004@mars.org,B6%starD4,Greenhouse Habitat - Pod 4,Assigned to crop nutrient research
1005,Peter,Quill,29,peter.quill1005@mars.org,P5&galaxyE5,Erebus Habitat - Pod 5,Martian meal prep volunteer
1006,Padme,Amidala,27,padme.amidala1006@mars.org,P4!queenF6,Amazonis Habitat - Pod 1,Possible Erebus Montes exploration crew
1007,Leia,Organa,30,leia.organa1007@mars.org,L3#rebelG7,Research Habitat - Pod 2,Greenhouse soil team candidate
1008,Han,Solo,33,han.solo1008@mars.org,H2@falconH8,Erebus Habitat - Pod 3,Rover resource run recommended
1009,Amelia,Brand,38,amelia.brand1009@mars.org,A1%orbitJ9,Greenhouse Habitat - Pod 4,Assigned to crop nutrient research
1010,James,Kirk,40,james.kirk1010@mars.org,J0&captainK1,Research Habitat - Pod 5,Martian meal prep volunteer
